Sun Oct 20 18:02:28 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:28 2024 | DIR: -1.794846, -9.149170
Sun Oct 20 18:02:28 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:28 2024 | Found contender.
Sun Oct 20 18:02:28 2024 | 
Sun Oct 20 18:02:28 2024 | Found mission objective blip.
Sun Oct 20 18:02:28 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:28 2024 | DIR: -3.610840, -8.611877
Sun Oct 20 18:02:28 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:28 2024 | Found contender.
Sun Oct 20 18:02:28 2024 | 
Sun Oct 20 18:02:28 2024 | Found mission objective blip.
Sun Oct 20 18:02:28 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:28 2024 | DIR: -4.996414, -7.910156
Sun Oct 20 18:02:28 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:28 2024 | Found contender.
Sun Oct 20 18:02:28 2024 | 
Sun Oct 20 18:02:28 2024 | Found mission objective blip.
Sun Oct 20 18:02:28 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:28 2024 | DIR: -5.934906, -7.252319
Sun Oct 20 18:02:28 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:28 2024 | Found contender.
Sun Oct 20 18:02:28 2024 | 
Sun Oct 20 18:02:28 2024 | Found mission objective blip.
Sun Oct 20 18:02:28 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:28 2024 | DIR: -6.446457, -6.814636
Sun Oct 20 18:02:29 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:29 2024 | Found contender.
Sun Oct 20 18:02:29 2024 | 
Sun Oct 20 18:02:29 2024 | Found mission objective blip.
Sun Oct 20 18:02:29 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:29 2024 | DIR: -6.544830, -6.722839
Sun Oct 20 18:02:29 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:29 2024 | Found contender.
Sun Oct 20 18:02:29 2024 | 
Sun Oct 20 18:02:29 2024 | Found mission objective blip.
Sun Oct 20 18:02:29 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:29 2024 | DIR: -6.544830, -6.722839
Sun Oct 20 18:02:29 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:29 2024 | Found contender.
Sun Oct 20 18:02:29 2024 | 
Sun Oct 20 18:02:29 2024 | Found mission objective blip.
Sun Oct 20 18:02:29 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:29 2024 | DIR: -6.544815, -6.722900
Sun Oct 20 18:02:29 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:29 2024 | Found contender.
Sun Oct 20 18:02:29 2024 | 
Sun Oct 20 18:02:29 2024 | Found mission objective blip.
Sun Oct 20 18:02:29 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:29 2024 | DIR: -6.569183, -6.699768
Sun Oct 20 18:02:29 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:29 2024 | Found contender.
Sun Oct 20 18:02:29 2024 | 
Sun Oct 20 18:02:29 2024 | Found mission objective blip.
Sun Oct 20 18:02:29 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:29 2024 | DIR: -6.569183, -6.699707
Sun Oct 20 18:02:29 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:29 2024 | Found contender.
Sun Oct 20 18:02:29 2024 | 
Sun Oct 20 18:02:29 2024 | Found mission objective blip.
Sun Oct 20 18:02:29 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:29 2024 | DIR: -6.569183, -6.699707
Sun Oct 20 18:02:29 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:29 2024 | Found contender.
Sun Oct 20 18:02:29 2024 | 
Sun Oct 20 18:02:29 2024 | Found mission objective blip.
Sun Oct 20 18:02:29 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:29 2024 | DIR: -6.569183, -6.699707
Sun Oct 20 18:02:29 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:29 2024 | Found contender.
Sun Oct 20 18:02:29 2024 | 
Sun Oct 20 18:02:29 2024 | Found mission objective blip.
Sun Oct 20 18:02:29 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:29 2024 | DIR: -6.593414, -6.676575
Sun Oct 20 18:02:29 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:29 2024 | Found contender.
Sun Oct 20 18:02:29 2024 | 
Sun Oct 20 18:02:29 2024 | Found mission objective blip.
Sun Oct 20 18:02:29 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:29 2024 | DIR: -6.593414, -6.676575
Sun Oct 20 18:02:29 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:29 2024 | Found contender.
Sun Oct 20 18:02:29 2024 | 
Sun Oct 20 18:02:29 2024 | Found mission objective blip.
Sun Oct 20 18:02:29 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:29 2024 | DIR: -6.593430, -6.676514
Sun Oct 20 18:02:29 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:29 2024 | Found contender.
Sun Oct 20 18:02:29 2024 | 
Sun Oct 20 18:02:29 2024 | Found mission objective blip.
